"createdat","productid","sum_revenue","sum_consumption"
"2018-03-13",1001,"6417.356991","54375"
"2018-03-13",1002,"11014.393800","90188"
"2018-03-13",2001,"849.222312","41130"
"2018-03-14",1000,"8311.217746","99515"
"2018-03-14",1001,"1430.703929","11915"
"2018-03-14",1002,"1732.529162","14670"
"2018-03-14",2001,"987.547671","39600"
"2018-03-15",1000,"3246.583166","33228"
"2018-03-15",1001,"7443.225764","59615"
"2018-03-15",1002,"3482.233745","34436"
"2018-03-15",2001,"2352.455515","106769"
"2018-03-16",1000,"5685.229421","62104"
"2018-03-16",1001,"4371.687634","33158"
"2018-03-16",1002,"1749.372282","14815"
"2018-03-16",2000,NULL,"10024"
"2018-03-17",1000,"6098.748170","75999"
"2018-03-17",1001,"3619.331868","32136"
"2018-03-17",1002,"4508.862511","37772"
"2018-03-17",2000,NULL,"9725"
"2018-03-18",1000,"4053.224785","45505"
"2018-03-18",1001,"6211.407337","53942"
"2018-03-18",1002,"4386.213713","37025"
"2018-03-18",2000,NULL,"10110"
"2018-03-19",1000,"5606.560557","70321"
"2018-03-19",1001,"3744.294937","32756"
"2018-03-19",1002,"4246.571617","36966"
"2018-03-19",2001,"2196.345140","99570"
"2018-03-20",1000,"2764.051370","29800"
"2018-03-20",1001,"2800.784992","21565"
"2018-03-20",1002,"4771.863094","40345"
"2018-03-21",1000,"1564.442605","16638"
"2018-03-21",1001,"3034.624126","23575"
"2018-03-21",1002,"3614.925585","28792"
"2018-03-22",1000,"1807.037957","20839"
"2018-03-22",1001,"6592.396849","54021"
"2018-03-22",1002,"3236.594838","25714"
"2018-03-22",2000,NULL,"8407"
"2018-03-22",2001,"1202.962843","61232"
"2018-03-23",1000,"4828.499846","57747"
"2018-03-23",1002,"1334.683038","11245"
"2018-03-23",2000,NULL,"10001"
"2018-03-24",1000,"4207.396225","47244"
"2018-03-24",1001,"5934.283587","48584"
"2018-03-24",1002,"5661.203627","46351"
"2018-03-24",2001,"1996.409537","83424"
"2018-03-25",1001,"2365.142787","19844"
"2018-03-25",1002,"8892.814885","75379"
"2018-03-25",2001,"2017.563068","95154"
"2018-03-26",1000,"1786.485334","24636"
"2018-03-26",1001,"4714.390751","38912"
"2018-03-26",1002,"3408.593708","29701"
"2018-03-26",2000,NULL,"23296"
"2018-03-26",2001,"1760.049007","98930"
"2018-03-27",1000,"4791.977053","55439"
"2018-03-27",1001,"4702.398098","39235"
"2018-03-27",1002,"6415.547758","53048"
"2018-03-27",2001,"2196.222767","122600"
"2018-03-28",1000,"3977.000446","53801"
"2018-03-28",1001,"4942.206806","47798"
"2018-03-28",1002,"4304.683644","35762"
"2018-03-28",2000,NULL,"10776"
"2018-03-28",2001,"1241.268627","61105"
"2018-03-29",1000,"6816.753451","79077"
"2018-03-29",1001,"940.814530","8184"
"2018-03-29",1002,"1153.157534","10800"
"2018-03-29",2000,NULL,"17986"
"2018-03-29",2001,"700.625152","43760"
"2018-03-30",1000,"3808.423979","46529"
"2018-03-30",1001,"2384.436208","19010"
"2018-03-30",1002,"5100.314256","39304"
"2018-03-30",2000,NULL,"10034"
"2018-03-30",2001,"208.050137","19274"
"2018-03-31",1000,"4674.895209","64706"
"2018-03-31",1001,"1168.378389","11912"
"2018-03-31",1002,"671.301545","9298"
"2018-03-31",2001,"1104.960159","54160"
"2018-04-01",1000,"2426.392961","31632"
"2018-04-01",1001,"2455.262186","20444"
"2018-04-01",1002,"4305.814123","36646"
"2018-04-02",1000,"8398.493100","105992"
"2018-04-02",1001,"8630.171791","74368"
"2018-04-02",1002,"3824.257797","28468"
"2018-04-02",2000,NULL,"10107"
"2018-04-02",2001,"601.097424","46220"
"2018-04-03",1000,"8997.281208","103733"
"2018-04-03",1001,"1922.442577","18984"
"2018-04-03",1002,"3270.977216","28128"
"2018-04-03",2000,NULL,"11896"
"2018-04-03",2001,"854.598723","47548"
"2018-04-04",1000,"4397.505295","58451"
"2018-04-04",1001,"6176.011627","51515"
"2018-04-04",1002,"840.455808","11140"
"2018-04-04",2000,NULL,"23663"
"2018-04-04",2001,"1044.116926","51060"
"2018-04-05",1000,"2642.269245","38070"
"2018-04-05",1001,"1623.503227","13555"
"2018-04-05",1002,"6430.022382","53577"
"2018-04-05",2000,NULL,"10500"
"2018-04-06",1000,"3785.748474","43546"
"2018-04-06",1001,"4874.841296","43462"
"2018-04-06",1002,"4132.776946","36513"
"2018-04-06",2000,NULL,"8406"
"2018-04-07",1000,"3465.918556","45091"
"2018-04-07",1001,"9073.200263","73768"
"2018-04-07",1002,"1037.264918","9940"
"2018-04-07",2000,NULL,"23658"
"2018-04-08",1000,"5419.054985","61001"
"2018-04-08",1001,"3418.644854","28570"
"2018-04-08",1002,"309.439246","5050"
"2018-04-08",2001,"1180.523529","58010"
"2018-04-09",1000,"6436.894696","76220"
"2018-04-09",1001,"778.778532","8268"
"2018-04-09",1002,"1712.782055","14500"
"2018-04-09",2000,NULL,"8546"
"2018-04-09",2001,"1152.359000","56575"
"2018-04-10",1000,"3393.539429","35766"
"2018-04-10",1001,"6690.960100","60810"
"2018-04-10",1002,"1496.114795","10400"
"2018-04-10",2001,"666.970877","34680"
"2018-04-11",1000,"2841.052809","30711"
"2018-04-11",1001,"4931.319108","43520"
"2018-04-11",1002,"4738.882021","50081"
"2018-04-12",1000,"1400.601496","16086"
"2018-04-12",1001,"1904.674433","15673"
"2018-04-12",1002,"4616.974071","39246"
"2018-04-12",2001,"551.018082","32400"
"2018-04-13",1000,"1624.659563","21179"
"2018-04-13",1001,"1323.510461","10884"
"2018-04-13",1002,"1497.713150","10240"
"2018-04-13",2000,NULL,"17308"
"2018-04-14",1001,"1565.898559","13065"
"2018-04-14",1002,"8698.440536","72294"
"2018-04-15",1000,"2361.350446","31067"
"2018-04-15",1001,"4112.710093","35034"
"2018-04-15",1002,"4243.003564","39485"
"2018-04-15",2000,NULL,"8303"
"2018-04-16",1000,"3576.434575","51353"
"2018-04-16",1001,"2177.570055","21844"
"2018-04-16",1002,"2897.268617","23820"
"2018-04-16",2001,"950.104318","46270"
"2018-04-17",1000,"3390.413732","46064"
"2018-04-17",1001,"2748.006656","24592"
"2018-04-17",1002,"4501.053565","40935"
"2018-04-17",2000,NULL,"8564"
"2018-04-17",2001,"906.075036","44496"
"2018-04-18",1000,"3076.413448","35378"
"2018-04-18",1001,"3778.699763","33586"
"2018-04-18",1002,"1832.176515","17237"
"2018-04-18",2000,NULL,"33335"
"2018-04-18",2001,"976.208027","47600"
"2018-04-19",1000,"4182.395244","49474"
"2018-04-19",1001,"2342.893101","18668"
"2018-04-20",1000,"1691.739228","19488"
"2018-04-20",1001,"4228.536291","38602"
"2018-04-20",1002,"2881.505589","25166"
"2018-04-20",2000,NULL,"9038"
"2018-04-21",1000,"5671.107213","64518"
"2018-04-21",1001,"5317.751997","48978"
"2018-04-21",1002,"2775.292055","22400"
"2018-04-22",1000,"3675.429475","46392"
"2018-04-22",1001,"1867.020576","14472"
"2018-04-22",1002,"3992.787715","35551"
"2018-04-22",2000,NULL,"11798"
"2018-04-23",1000,"5107.757161","64121"
"2018-04-23",1001,"4318.992799","34963"
"2018-04-23",1002,"1432.358231","11060"
"2018-04-24",1000,"9275.065505","120695"
"2018-04-24",1002,"2457.189057","21424"
"2018-04-24",2001,"1957.918897","92916"
"2018-04-25",1001,"2447.246945","20065"
"2018-04-25",1002,"10151.315761","82400"
"2018-04-25",2000,NULL,"19998"
"2018-04-26",1000,"2069.749046","27907"
"2018-04-26",1001,"2998.365896","24995"
"2018-04-26",1002,"2092.919614","16875"
"2018-04-26",2000,NULL,"11080"
"2018-04-27",1000,"3927.535194","47130"
"2018-04-27",1001,"3752.178230","34949"
"2018-04-27",1002,"2217.461127","16904"
"2018-04-27",2001,"1043.037449","51005"
"2018-04-28",1000,"1641.494739","16320"
"2018-04-28",1002,"2899.848003","25215"
"2018-04-29",1000,"2556.434851","32954"
"2018-04-29",1001,"3337.514170","29639"
"2018-04-29",1002,"3049.650916","29148"
"2018-04-29",2000,NULL,"8777"
"2018-04-29",2001,"1056.383707","51685"
"2018-04-30",1000,"5708.400763","63023"
"2018-04-30",1001,"2234.869768","17058"
"2018-04-30",2000,NULL,"7911"
"2018-04-30",2001,"2346.089199","118167"
"2018-05-01",1000,"1452.537927","16238"
"2018-05-01",1001,"1430.703929","11915"
"2018-05-01",1002,"2841.282066","23970"
"2018-05-01",2001,"901.362981","36756"
"2018-05-02",1000,"4561.110136","56403"
"2018-05-02",1001,"4505.166363","36355"
"2018-05-02",1002,"1281.424318","11024"
"2018-05-02",2001,"1772.934528","83367"
"2018-05-03",1000,"4742.277713","57490"
"2018-05-03",1001,"4604.611200","37508"
"2018-05-03",1002,"1248.144247","10500"
"2018-05-04",1000,"1563.297639","17983"
"2018-05-04",1001,"4636.650575","42696"
"2018-05-04",1002,"2283.317544","16816"
"2018-05-05",1000,"1070.559771","15456"
"2018-05-05",1001,"5305.968231","45090"
"2018-05-05",1002,"3647.094198","31106"
"2018-05-05",2001,"1145.587737","56230"
"2018-05-06",1000,"2697.055589","29829"
"2018-05-06",1002,"2459.142932","21840"
"2018-05-06",2000,NULL,"22386"
"2018-05-06",2001,"1065.215789","52135"
"2018-05-07",1001,"8065.317905","70950"
"2018-05-07",1002,"3167.690126","26780"
"2018-05-07",2001,"904.373759","43940"
"2018-05-08",1000,"1329.921118","17454"
"2018-05-08",1001,"3082.421687","25710"
"2018-05-08",1002,"1984.877444","15869"
"2018-05-08",2000,NULL,"9925"
"2018-05-08",2001,"724.328801","35528"
"2018-05-09",1000,"3397.291574","48069"
"2018-05-09",1001,"3583.328812","32001"
"2018-05-09",1002,"3703.824501","33833"
"2018-05-09",2000,NULL,"19451"
"2018-05-10",1000,"2056.026338","27628"
"2018-05-10",1001,"882.588740","10636"
"2018-05-10",1002,"6065.832136","47529"
"2018-05-10",2000,NULL,"10400"
"2018-05-11",1000,"6879.563762","77237"
"2018-05-11",1001,"5843.669195","50789"
"2018-05-11",1002,"3754.422775","30140"
"2018-05-11",2000,NULL,"9326"
"2018-05-12",1000,"1981.438882","25764"
"2018-05-12",1001,"5714.519326","47529"
"2018-05-12",1002,"2628.311488","23365"
"2018-05-12",2000,NULL,"8173"
"2018-05-13",1000,"3840.012524","45302"
"2018-05-13",1001,"6406.430302","53475"
"2018-05-13",1002,"3533.152529","29084"
"2018-05-13",2000,NULL,"8758"
"2018-05-13",2001,"727.001918","32800"
"2018-05-14",1000,"910.022673","14328"
"2018-05-14",1001,"1715.200455","14335"
"2018-05-14",1002,"2389.994902","18692"
"2018-05-14",2000,NULL,"11886"
"2018-05-15",1000,"1201.015014","17802"
"2018-05-15",1002,"1092.280967","9324"
"2018-05-15",2001,"1370.521528","67676"
"2018-05-16",1000,"5377.366136","65646"
"2018-05-16",1001,"3818.865863","34632"
"2018-05-16",1002,"723.643014","8800"
"2018-05-16",2000,NULL,"29253"
"2018-05-16",2001,"902.018537","43820"
"2018-05-17",1000,"3421.114829","39417"
"2018-05-17",1001,"452.167940","5148"
"2018-05-17",1002,"5252.415074","43424"
"2018-05-18",1000,"5566.453089","69202"
"2018-05-18",1001,"2963.981090","31809"
"2018-05-18",1002,"4082.569343","36270"
"2018-05-18",2000,NULL,"11082"
"2018-05-18",2001,"1147.746690","56340"
"2018-05-19",1000,"2647.679831","32639"
"2018-05-19",1001,"2264.610807","18940"
"2018-05-19",1002,"4882.724262","38408"
"2018-05-19",2000,NULL,"11255"
"2018-05-19",2001,"621.593119","32276"
"2018-05-20",1000,"1224.285567","15282"
"2018-05-20",1001,"700.181602","5638"
"2018-05-20",1002,"3390.179022","30952"
"2018-05-20",2000,NULL,"19740"
"2018-05-21",1000,"1557.991398","18312"
"2018-05-21",1001,"1652.703052","13064"
"2018-05-21",1002,"3927.435296","34305"
"2018-05-21",2000,NULL,"29233"
"2018-05-22",1000,"3191.440851","35790"
"2018-05-22",1001,"3355.009347","28707"
"2018-05-22",1002,"4059.051134","33029"
"2018-05-22",2000,NULL,"9534"
"2018-05-23",1000,"4077.139946","47250"
"2018-05-23",1001,"4267.441841","36620"
"2018-05-23",1002,"7149.866070","59731"
"2018-05-23",2000,NULL,"18990"
"2018-05-23",2001,"745.442161","36668"
"2018-05-24",1000,"1885.598621","20370"
"2018-05-24",1001,"4232.822959","33271"
"2018-05-24",1002,"771.369948","9708"
"2018-05-25",1000,"3911.194150","49381"
"2018-05-25",1002,"5078.220058","44627"
"2018-05-25",2001,"722.174411","38304"
"2018-05-26",1001,"1494.774427","12460"
"2018-05-26",1002,"3175.821287","26850"
"2018-05-26",2001,"191.142855","19406"
"2018-05-27",1000,"4823.113729","55510"
"2018-05-27",1002,"1974.001510","16405"
"2018-05-28",1000,"4304.191988","51492"
"2018-05-28",1001,"3871.974082","32689"
"2018-05-28",1002,"1524.865808","11840"
"2018-05-28",2000,NULL,"12501"
"2018-05-28",2001,"1610.099039","81380"
"2018-05-29",1000,"3402.785503","41603"
"2018-05-29",1001,"3614.715600","26528"
"2018-05-29",1002,"955.531909","8868"
"2018-05-29",2000,NULL,"8259"
"2018-05-30",1000,"4346.762175","60098"
"2018-05-30",1001,"1494.546460","10188"
"2018-05-30",1002,"4988.954211","45299"
"2018-05-30",2001,"873.461471","42365"
"2018-05-31",1000,"5223.035796","66883"
"2018-05-31",1001,"654.679907","5232"
"2018-05-31",1002,"4003.023729","32191"
"2018-05-31",2000,NULL,"8838"
"2018-05-31",2001,"509.638559","20742"
"2018-06-01",1000,"7492.184000","90019"
"2018-06-01",1001,"3707.546049","30124"
"2018-06-01",1002,"2015.799518","14480"
"2018-06-01",2000,NULL,"20127"
"2018-06-01",2001,"1853.565304","82460"
"2018-06-02",1000,"3523.286029","44826"
"2018-06-02",1001,"3701.828432","33700"
"2018-06-02",1002,"3450.193944","30845"
"2018-06-02",2001,"881.017808","42750"
"2018-06-03",1000,"979.737173","13422"
"2018-06-03",1001,"1882.066898","19952"
"2018-06-03",1002,"4389.716139","37788"
"2018-06-03",2000,NULL,"10734"
"2018-06-03",2001,"816.052937","39440"
"2018-06-04",1000,"4052.347551","49657"
"2018-06-04",1001,"950.451672","10324"
"2018-06-04",1002,"1802.224833","15270"
"2018-06-04",2001,"1232.044008","60635"
"2018-06-05",1000,"1488.048121","18038"
"2018-06-05",1001,"2516.367649","20895"
"2018-06-05",1002,"2144.044029","20245"
"2018-06-05",2001,"750.828269","33496"
"2018-06-06",1000,"8824.061869","99666"
"2018-06-06",1001,"4793.404783","42480"
"2018-06-06",1002,"950.995069","7600"
"2018-06-06",2000,NULL,"8889"
"2018-06-07",1000,"680.923639","12282"
"2018-06-07",1001,"2471.914258","21693"
"2018-06-07",1002,"3956.164846","32395"
"2018-06-08",1000,"1149.930376","12954"
"2018-06-08",1001,"1421.299085","11835"
"2018-06-08",1002,"2546.896928","22687"
"2018-06-08",2000,NULL,"20423"
"2018-06-08",2001,"2093.092206","95678"
"2018-06-09",1000,"1627.094489","22746"
"2018-06-09",1001,"5485.115788","49757"
"2018-06-09",1002,"6666.973427","54908"
"2018-06-09",2001,"576.594844","23544"
"2018-06-10",1000,"1024.818980","12666"
"2018-06-10",1001,"2279.251786","23800"
"2018-06-10",1002,"3904.137069","32258"
"2018-06-10",2000,NULL,"20933"
"2018-06-10",2001,"1939.035669","90564"
"2018-06-11",1001,"9220.642719","81266"
"2018-06-11",1002,"3060.648607","28744"
"2018-06-11",2000,NULL,"10948"
"2018-06-11",2001,"865.948868","39444"
